referencia,ano,mes,rendimento_medio
2012-03,2012,03,2856
2012-04,2012,04,2867
2012-05,2012,05,2860
2012-06,2012,06,2866
2012-07,2012,07,2881
2012-08,2012,08,2890
2012-09,2012,09,2885
2012-10,2012,10,2881
2012-11,2012,11,2878
2012-12,2012,12,2872
2013-01,2013,01,2883
2013-02,2013,02,2901
2013-03,2013,03,2917
2013-04,2013,04,2924
2013-05,2013,05,2926
2013-06,2013,06,2950
2013-07,2013,07,2969
2013-08,2013,08,2989
2013-09,2013,09,2989
2013-10,2013,10,2998
2013-11,2013,11,2986
2013-12,2013,12,2963
2014-01,2014,01,2960
2014-02,2014,02,2989
2014-03,2014,03,3023
2014-04,2014,04,3021
2014-05,2014,05,3015
2014-06,2014,06,2999
2014-07,2014,07,2993
2014-08,2014,08,3015
2014-09,2014,09,3025
2014-10,2014,10,3037
2014-11,2014,11,3016
2014-12,2014,12,3017
2015-01,2015,01,3022
2015-02,2015,02,3017
2015-03,2015,03,3017
2015-04,2015,04,3011
2015-05,2015,05,2997
2015-06,2015,06,3005
2015-07,2015,07,2985
2015-08,2015,08,2971
2015-09,2015,09,2969
2015-10,2015,10,2958
2015-11,2015,11,2936
2015-12,2015,12,2921
2016-01,2016,01,2930
2016-02,2016,02,2912
2016-03,2016,03,2926
2016-04,2016,04,2911
2016-05,2016,05,2921
2016-06,2016,06,2891
2016-07,2016,07,2892
2016-08,2016,08,2918
2016-09,2016,09,2915
2016-10,2016,10,2920
2016-11,2016,11,2926
2016-12,2016,12,2940
2017-01,2017,01,2951
2017-02,2017,02,2960
2017-03,2017,03,2977
2017-04,2017,04,2964
2017-05,2017,05,2960
2017-06,2017,06,2948
2017-07,2017,07,2949
2017-08,2017,08,2945
2017-09,2017,09,2960
2017-10,2017,10,2970
2017-11,2017,11,2984
2017-12,2017,12,2985
2018-01,2018,01,2997
2018-02,2018,02,3008
2018-03,2018,03,3006
2018-04,2018,04,3016
2018-05,2018,05,3017
2018-06,2018,06,3013
2018-07,2018,07,3002
2018-08,2018,08,3014
2018-09,2018,09,3002
2018-10,2018,10,3005
2018-11,2018,11,3008
2018-12,2018,12,3026
2019-01,2019,01,3044
2019-02,2019,02,3055
2019-03,2019,03,3042
2019-04,2019,04,3026
2019-05,2019,05,3005
2019-06,2019,06,3006
2019-07,2019,07,2999
2019-08,2019,08,3011
2019-09,2019,09,3011
2019-10,2019,10,3034
2019-11,2019,11,3047
2019-12,2019,12,3037
2020-01,2020,01,3044
2020-02,2020,02,3047
2020-03,2020,03,3072
2020-04,2020,04,3106
2020-05,2020,05,3157
2020-06,2020,06,3206
2020-07,2020,07,3244
2020-08,2020,08,3239
2020-09,2020,09,3242
2020-10,2020,10,3194
2020-11,2020,11,3161
2020-12,2020,12,3113
2021-01,2021,01,3106
2021-02,2021,02,3078
2021-03,2021,03,3087
2021-04,2021,04,3050
2021-05,2021,05,3048
2021-06,2021,06,3001
2021-07,2021,07,2974
2021-08,2021,08,2933
2021-09,2021,09,2881
2021-10,2021,10,2838
2021-11,2021,11,2801
2021-12,2021,12,2778
2022-01,2022,01,2805
2022-02,2022,02,2808
2022-03,2022,03,2820
2022-04,2022,04,2809
2022-05,2022,05,2828
2022-06,2022,06,2849
2022-07,2022,07,2889
2022-08,2022,08,2914
2022-09,2022,09,2953
2022-10,2022,10,2973
2022-11,2022,11,3001
2022-12,2022,12,3008
2023-01,2023,01,3021
2023-02,2023,02,3020
2023-03,2023,03,3028
2023-04,2023,04,3018
2023-05,2023,05,3013
2023-06,2023,06,3026
2023-07,2023,07,3037
2023-08,2023,08,3046
2023-09,2023,09,3077
2023-10,2023,10,3088
2023-11,2023,11,3115
2023-12,2023,12,3102
2024-01,2024,01,3136
2024-02,2024,02,3150
2024-03,2024,03,3147
2024-04,2024,04,3161
2024-05,2024,05,3181
